id,Location,row,col,Date,Lat,Lon,SounderFt,Tdeploy,Tretrieve,Deployer,Lat.dec,Lon.dec,Date & Time,Temp(°C),Depth(m),Date_Time,delta_depth,updown
1,Transect7,3,2,7/16/22,42 59 49.6,70 37 15.8,59.6,NA,NA,Petra,42.99711111,-70.62105556,44758.5681481482,10.91,15.61,2022-07-16T13:38:08Z,0,up
1,Transect7,3,2,7/16/22,42 59 49.6,70 37 15.8,59.6,NA,NA,Petra,42.99711111,-70.62105556,44758.5681712963,10.85,14.82,2022-07-16T13:38:10Z,0,up
1,Transect7,3,2,7/16/22,42 59 49.6,70 37 15.8,59.6,NA,NA,Petra,42.99711111,-70.62105556,44758.5681944444,10.81,13.91,2022-07-16T13:38:11Z,0,up
1,Transect7,3,2,7/16/22,42 59 49.6,70 37 15.8,59.6,NA,NA,Petra,42.99711111,-70.62105556,44758.5682175926,10.85,13.04,2022-07-16T13:38:14Z,0,up
1,Transect7,3,2,7/16/22,42 59 49.6,70 37 15.8,59.6,NA,NA,Petra,42.99711111,-70.62105556,44758.5682407407,10.94,11.98,2022-07-16T13:38:15Z,0,up
1,Transect7,3,2,7/16/22,42 59 49.6,70 37 15.8,59.6,NA,NA,Petra,42.99711111,-70.62105556,44758.5682638889,11.14,10.87,2022-07-16T13:38:18Z,0,up
1,Transect7,3,2,7/16/22,42 59 49.6,70 37 15.8,59.6,NA,NA,Petra,42.99711111,-70.62105556,44758.568287037,11.3,10.02,2022-07-16T13:38:19Z,0,up
1,Transect7,3,2,7/16/22,42 59 49.6,70 37 15.8,59.6,NA,NA,Petra,42.99711111,-70.62105556,44758.5683101852,11.81,7.87,2022-07-16T13:38:22Z,0,up
1,Transect7,3,2,7/16/22,42 59 49.6,70 37 15.8,59.6,NA,NA,Petra,42.99711111,-70.62105556,44758.5683333333,12.13,6.71,2022-07-16T13:38:23Z,0,up
1,Transect7,3,2,7/16/22,42 59 49.6,70 37 15.8,59.6,NA,NA,Petra,42.99711111,-70.62105556,44758.5683564815,12.48,5.54,2022-07-16T13:38:26Z,0,up
1,Transect7,3,2,7/16/22,42 59 49.6,70 37 15.8,59.6,NA,NA,Petra,42.99711111,-70.62105556,44758.5683796296,12.83,4.34,2022-07-16T13:38:27Z,0,up
1,Transect7,3,2,7/16/22,42 59 49.6,70 37 15.8,59.6,NA,NA,Petra,42.99711111,-70.62105556,44758.5684027778,13.18,3.24,2022-07-16T13:38:30Z,0,up
1,Transect7,3,2,7/16/22,42 59 49.6,70 37 15.8,59.6,NA,NA,Petra,42.99711111,-70.62105556,44758.5684259259,13.43,2.05,2022-07-16T13:38:31Z,0,up
